,Reporting Year___x,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
11,2020 and 2021,BK19,3,254,483.375,29.876712328767123,25803.166824345277,101.58727096198928,22,141.6375,22.071428571428573,1873.7703328653079,85.1713787666049,276,0.07971014492753623
12,2019 and 2020,BK21,3,109,402.6459854014599,14.633333333333333,8632.937648720821,79.20126283230111,4,95.47339632023869,24.396551724137932,239.793473926217,59.94836848155425,113,0.035398230088495575
13,2019 and 2020,BK21,3,109,402.6459854014599,14.633333333333333,8632.937648720821,79.20126283230111,10,68.82,17.061003420752566,474.6811239408022,47.46811239408022,119,0.08403361344537816
14,2020 and 2021,BK21,3,142,402.6459854014599,24.396551724137932,10057.566969799593,70.82793640703939,4,95.47339632023869,24.396551724137932,239.793473926217,59.94836848155425,146,0.0273972602739726
15,2020 and 2021,BK21,3,142,402.6459854014599,24.396551724137932,10057.566969799593,70.82793640703939,10,68.82,17.061003420752566,474.6811239408022,47.46811239408022,152,0.06578947368421052
16,2019 and 2020,BK23,3,45,116.901,30.13359375,3076.943496294034,68.37652213986742,10,116.901,67.19951923076923,921.6861612932267,92.16861612932267,55,0.18181818181818182
17,2019 and 2020,BK23,3,45,116.901,30.13359375,3076.943496294034,68.37652213986742,12,105.0621729972141,67.19951923076923,1124.8376501540913,93.73647084617427,57,0.21052631578947367
18,2020 and 2021,BK23,3,31,105.0621729972141,30.13359375,1768.6365846039446,57.052793051740146,10,116.901,67.19951923076923,921.6861612932267,92.16861612932267,41,0.24390243902439024
19,2020 and 2021,BK23,3,31,105.0621729972141,30.13359375,1768.6365846039446,57.052793051740146,12,105.0621729972141,67.19951923076923,1124.8376501540913,93.73647084617427,43,0.27906976744186046
20,2019 and 2020,BK25,3,375,356.33720930232556,16.72826086956522,31684.14030665507,84.49104081774685,46,227.9093023255814,18.745454545454546,3627.6351322452997,78.86163330968043,421,0.10926365795724466
21,2019 and 2020,BK25,3,375,356.33720930232556,16.72826086956522,31684.14030665507,84.49104081774685,52,227.9093023255814,16.068,4202.968659337601,80.82632037187695,427,0.12177985948477751
22,2020 and 2021,BK25,3,385,356.33720930232556,16.72826086956522,31751.733309647712,82.47203457051354,46,227.9093023255814,18.745454545454546,3627.6351322452997,78.86163330968043,431,0.10672853828306264
23,2020 and 2021,BK25,3,385,356.33720930232556,16.72826086956522,31751.733309647712,82.47203457051354,52,227.9093023255814,16.068,4202.968659337601,80.82632037187695,437,0.11899313501144165
24,2019 and 2020,BK26,3,114,370.81545064377684,37.270492022342786,9013.966803653588,79.06988424257533,6,168.95705521472394,49.98383968972204,530.1067001339264,88.35111668898774,120,0.05
25,2019 and 2020,BK26,3,114,370.81545064377684,37.270492022342786,9013.966803653588,79.06988424257533,11,98.28947368421052,24.425925925925927,681.4073612332894,61.94612374848086,125,0.088
26,2020 and 2021,BK26,3,102,370.81545064377684,27.559701492537314,7406.69791765813,72.61468546723657,6,168.95705521472394,49.98383968972204,530.1067001339264,88.35111668898774,108,0.05555555555555555
27,2020 and 2021,BK26,3,102,370.81545064377684,27.559701492537314,7406.69791765813,72.61468546723657,11,98.28947368421052,24.425925925925927,681.4073612332894,61.94612374848086,113,0.09734513274336283
28,2019 and 2020,BK27,3,144,338.33514054550005,24.615384615384617,11722.242500324515,81.40446180780913,13,120.39677419354838,23.222727272727273,840.5273908877139,64.65595314520876,157,0.08280254777070063
29,2019 and 2020,BK27,3,144,338.33514054550005,24.615384615384617,11722.242500324515,81.40446180780913,7,154.2802385008518,24.371517027863778,495.5433052047395,70.79190074353421,151,0.046357615894039736
